DLR-00080,Swift Solar,0.0,08-12-22,"Charge back for payment to wrong dealer, moved ot SR pay ",0,0.0,Swift Solar
DLR-00114,Alpha Electric,3866.73,08-16-22,House for September in Camp Verde,0,3866.73,Alpha Electric Group
DLR-00044,EMPYR,-11500.00,08-19-22,Battery for Charles Manhart refund,0,-11500.00,Empyreal Power
DLR-00081,Clean Earth,17601.76,08-19-22,Clean Skies Payment sent to Clean Earth,0,17601.76,Clean Earth Consultants
DLR-00082,Clean Earth,-17601.76,08-19-22,Reverse of incorrect Wire,0,-17601.76,Clean Earth Consultants
DLR-00087,CAPITAL,58607.12,08-19-22,Double payment,0,58607.12,Capital Energy LLC
DLR-00085,Alpha Electric,7917.80,08-24-22,SEP housing,0,7917.80,Alpha Electric Group
DLR-00086,Alpha Electric,-7917.80,08-24-22,SEP Housing payback at 10c/watt,0,-7917.80,Alpha Electric Group
DLR-00088,CAPITAL,-58607.12,08-24-22,Double payment Return,0,-58607.12,Capital Energy LLC
DLR-00089,CAPITAL,250.00,08-24-22,For self-reporting double payment,0,250.00,Capital Energy LLC
DLR-00090,EZ,5000.00,08-26-22,Competition Bonus,0,5000.00,EZ Energy
DLR-00091,WhyGen,250.00,09-01-22,For self-rpeorting double payment,0,250.00,WhyGen LLC
DLR-00092,MARS,6400.00,09-01-22,Final OPS work,0,6400.00,Mark Anthony Ramirez Solar
DLR-00103,Energy Bros USA,40000.00,09-01-22,Advance,0,40000.00,Energy Bros USA Inc
DLR-00028,Authentic Energy,-35000.00,03-18-22,"DLR-00015-16-17 repay (failed to hit 60 NTPs in 60 days)",-35000.00,0,Joseph McConell
DLR-00104,Energy Bros USA,-40000.00,09-01-22,Advance,0,-40000.00,Energy Bros USA Inc
DLR-00096,Clean Skies,1550.12,9/6/2022,"OUR07276 paid under this ID, incorrect sales Partner",0,1550.12,Clean Skies Technologies
DLR-00101,Clean Skies,-1550.12,9/6/2022,"OUR07276 paid under this ID, incorrect sales Partner, reverse the incorrect payment",0,-1550.12,Clean Skies Technologies
DLR-00119,Vantage Solar,3000.00,09-16-22,Double approval for the same amount in Chase,0,3000.00,Vantage Solar LLC
DLR-00105,Tapales,1520.00,09-17-22,BOnus on Amanda Santiago - rentention of partner,0,1520.00,Tapales Enterprises LLC
OUR08562,EZ,4000.00,09-17-22,Rentention of partner,0,4000.00,EZ Energy
OUR06449,Vantage Solar,3000.00,09-17-22,"M1 offset,",0,3000.00,Vantage Solar LLC
DLR-00097,WHITE RHINO,2000.00,9/23/2022,"OUR07695 paid under this ID, incorrect sales Partner",0,2000.00,White Rhino Home Services
DLR-00102,WHITE RHINO,-2000.00,9/23/2022,"OUR07695 paid under this ID, incorrect sales Partner, reverse the incorrect payment",0,-2000.00,White Rhino Home Services
DLR-00117,SE of AZ,23237.50,09-23-22,Missed recording in AP - Dealer,0,23237.50,Solar Experts of AZ
DLR-00108,Clean Earth,1261.98,09-26-22,Home and Garden Show Reimb,0,1261.98,Clean Earth Consultants
DLR-00112,Switch Solar,0.0,09-30-22,Overpaymnt due to reporting error,0,0.0,Switch Solar
DLR-00113,Switch Solar,0.0,09-30-22,Overpaymnt Reverse due to reporting error DLR-00112,0,0.0,Switch Solar
DLR-00115,PHX Solar Power,195.00,09-30-22,Double approval for the same amount in Chase,0,195.00,Phoenix Solar Power
OUR09167,Kodessa,-575.22,10-04-22,"Early payment fee, 10%",0,-575.22,Kodessa
OUR07840,Kodessa,-476.33,10-04-22,"Early payment fee, 10%",0,-476.33,Kodessa
OUR08259,Kodessa,-467.45,10-04-22,"Early payment fee, 10%",0,-467.45,Kodessa
DLR-00116,PHX Solar Power,-195.00,10-06-22,DLR-00115 - Correction,0,-195.00,Phoenix Solar Power
DLR-00118,SE of AZ,-23237.50,10-06-22,DLR-00117 - Correction,0,-23237.50,Solar Experts of AZ
DLR-00120,Vantage Solar,-3000.00,10-06-22,DLR-00119 - Correction,0,-3000.00,Vantage Solar LLC
DLR-00121,WhyGen,5283.75,10-07-22,"No commission statement, will record this as advance/erroneous payment",0,5283.75,WhyGen LLC
DLR-00122,WhyGen,0.0,10-07-22,"Advance/Erroneous payment payback, Caleb Override. DLR-10121 was meant to be sent",0,0.0,WhyGen LLC
DLR-00123,Solito,250.00,10-07-22,Late payment bonus,0,250.00,Go Solito LLC
DLR-00142,CAPITAL,25000.00,10-08-22,Bonus 1 of 2,0,25000.00,Capital Energy LLC
DLR-00124,Alpha Electric,2288.44,10-10-22,AIRBNB,0,2288.44,Alpha Electric Group
DLR-00125,Alpha Electric,2576.16,10-10-22,AIRBNB,0,2576.16,Alpha Electric Group
DLR-00126,Alpha Electric,-2288.44,10-10-22,AIRBNB,0,-2288.44,Alpha Electric Group
DLR-00127,Alpha Electric,-2576.16,10-10-22,AIRBNB,0,-2576.16,Alpha Electric Group
DLR-00128,CAPITAL,11610.00,10-11-22,Accidental payment,0,11610.00,Capital Energy LLC
DLR-00129,CAPITAL,-11610.00,10-11-22,Accidental payment reverse,0,-11610.00,Capital Energy LLC
DLR-00130,WhyGen,959.00,10-12-22,REIM: Amazon Chair,0,959.00,WhyGen LLC
OUR09348,Vantage Solar,4000.00,10-14-22,OWE missed the Survey,0,4000.00,Vantage Solar LLC
DLR-00132,MARS,10000.00,10-17-22,Advance,0,10000.00,Mark Anthony Ramirez Solar
DLR-00133,MARS,-10000.00,10-17-22,Advance repayment,0,-10000.00,Mark Anthony Ramirez Solar
OUR07861,Omni,1400.00,10-19-22,Customer's fence relocation,0,1400.00,Omni
DLR-00144,JORDAN,1123.99,10-21-22,"Closing | $17,680.00",0,1123.99,4waysafety
DLR-00135,WhyGen,0.0,10-26-22,"Office Ceiling - Per Caleb, OWE will cover this ",0,0.0,WhyGen LLC
DLR-00136,Valley Voltage,-203.74,10-31-22,2months loan REIMB | Retention,0,-203.74,Valley Voltage LLC
DLR-00003,OWE-IL,4834.00,11-02-22,Shaun Schulze Team override of 10c,0,4834.00,Our World Energy Illinois LLC
DLR-00137,Alpha Electric,10600.00,11-04-22,AIRBNB for NOV,0,10600.00,Alpha Electric Group
OUR08819,MARS,-600.00,11-04-22,MARS Covering travel adder for this job,0,-600.00,Mark Anthony Ramirez Solar
DLR-00140,My A Solar,13750.00,11-04-22,Payment of OUR04846,0,13750.00,My American Solar
DLR-00141,My A Solar,-13750.00,11-04-22,Cancel of OUR04846,-9705.00,-4045.00,My American Solar
DLR-00138,Alpha Electric,-10600.00,11-06-22,Take this back 10c / watt at a time,0,-10600.00,Alpha Electric Group
OUR07867,Switch Solar,2000.00,11-10-22,OWE will cover the cancel cost as per Josh,0,2000.00,Switch Solar
DLR-00146,ELITE SOLAR,0.0,11-14-22,OUR07444 transfer from JJ to Elite Solar per Josh Morton,-13504.55,13504.55,Elite Solar Energy
DLR-00147,CAPITAL,-25000.00,11-18-22,DLR-00142 return of double payment,0,-25000.00,Capital Energy LLC
DLR-00167,Alpha Electric,15000.00,11-19-22,Advance Request,0,15000.00,Alpha Electric Group
DLR-00168,Alpha Electric,-15000.00,11-19-22,Advance Payback,0,-15000.00,Alpha Electric Group
DLR-00148,My A Solar,-21477.98,11-22-22,Moving previous debt DLR other,-20437.98,-1040.00,My American Solar
DLR-00149,My A Solar,21477.98,11-22-22,Moving previous debt DLR other,0,21477.98,My American Solar
OUR09285,Tapales,372.50,11-25-22,Additional Marketing Fees (0.10c),0,372.50,Tapales Enterprises LLC
OUR09533,Tapales,1280.00,11-25-22,Additional Marketing Fees (0.10c),0,1280.00,Tapales Enterprises LLC
DLR-00165,Tapales,3349.39,11-25-22,Payment that was not canceled in JP Morgan,0,3349.39,Tapales Enterprises LLC
DLR-00152,MARS,15000.00,12-01-22,Advance Request,0,15000.00,Mark Anthony Ramirez Solar
DLR-00153,MARS,-15000.00,12-01-22,Advance Payback,-697.64,-14302.36,Mark Anthony Ramirez Solar
DLR-00154,Peak Power,8000.00,12-09-22,"Erroneous payment, should be Power Connection",0,8000.00,Peak Power
DLR-00155,Peak Power,-8000.00,12-09-22,Erroneous payment payback,0,-8000.00,Peak Power
DLR-00156,KODESSA,-21600.00,12-12-22,Balance is being paid by dealer. No cash to collect from HO. | OUR04883,0,-21600.00,Kodessa
OUR08125,Vantage Solar,3000.00,12-14-22,Per Josh Morton: Failed to notice the need for a reroof at SS and that led to a customer cancelation. Agreed to payout rep a partial commission.,0,3000.00,Vantage Solar LLC
OUR10605,Erik Lively,0.0,12-16-22,Correction Entry | Recorded in SR Comm - Requested by Daniel,0,0.0,Erik Lively LLC
OUR11056,ROMAN,-3000.00,12-16-22,This account should be under EZ Energy,0,-3000.00,Roman Family Enterprises LLC
DLR-00160,Elate Solar,7419.63,12-20-22,Advance; Paid M2 to wrong dealer,0,7419.63,Shaun Schulze
DLR-00694,Elate Solar,-7419.63,12-20-22,Advance Payback; Paid M2 to wrong dealer,-7419.63,0.0,Shaun Schulze
DLR-00161,Energy Bros USA,10000.00,12-21-22,Advance approved by Caleb,0,10000.00,Energy Bros USA Inc
DLR-00162,Energy Bros USA,-10000.00,12-21-22,Advance Payback,0,-10000.00,Energy Bros USA Inc
DLR-00163,Solterian,25000.00,12-21-22,Advance - Per Caleb,0,25000.00,DBA True Energy Plus LLC 
DLR-00164,Solterian,30000.00,12-21-22,Advance - Per Caleb,0,30000.00,DBA True Energy Plus LLC 
DLR-00166,Tapales,-3349.39,12-23-22,Overpayment payback,0,-3349.39,Tapales Enterprises LLC
DLR-00177,Energy Bros USA,54000.00,12-28-22,Advance,0,54000.00,Energy Bros USA Inc
DLR-00178,Energy Bros USA,-54000.00,12-28-22,Advance Payback at .20c per watt installed,0,-54000.00,Energy Bros USA Inc
OUR10714,WhyGen,750.00,12-29-22,Cancelation fee paid by the HO,0,750.00,WhyGen LLC
DLR-00170,MARS,7000.00,12-30-22,Advance,0,7000.00,Mark Anthony Ramirez Solar
DLR-00171,MARS,-7000.00,12-30-22,Advance Payback,-7000.00,0.0,Mark Anthony Ramirez Solar
DLR-00172,OWE-IL,6790.93,12-31-22,Zero-ing out OWE-IL,0,6790.93,Our World Energy Illinois LLC
DLR-00173,OWE-AZ-22,-6790.93,12-31-22,Paying for OWE-IL Zero out,0,-6790.93,OWE In House Team
OUR05948,KODESSA,340.00,01-04-23,Override to be paid to Kodessa per Josh Morton,0,340.00,Kodessa
OUR05948,WHITE RHINO,-340.00,01-04-23,Override transfer to Kodessa per Josh Morton,0,-340.00,White Rhino Home Services
DLR-00176,Solterian,-55000.00,01-04-23,Advance Payback - 10c/watt,-5165.42,-49834.58,DBA True Energy Plus LLC 
OUR06754,CAPITAL,-1568.10,01-09-23,Loan Fee that was already credited and paid,0,-1568.10,Capital Energy LLC
DLR-00098,My A Solar,-3500.00,1/27/2023,"OUR05381 paid under this ID, incorrect sales Partner, reverse the incorrect payment",0,-3500.00,My American Solar
DLR-00180,Alpha Electric,15814.61,01-30-23,AIRBNB February,0,15814.61,Alpha Electric Group
DLR-00181,Alpha Electric,-15814.61,01-30-23,AIRBNB February payback,0,-15814.61,Alpha Electric Group
OUR06941,Tapales,3500.00,01-30-23,Covering M1 deduction for Stefen toole - approved by Caleb,0,3500.00,Tapales Enterprises LLC
DLR-00183,ADVO,19123.43,01-31-23,"Converter old net backs to 1, charge back at 10c /watt on the M2",0,19123.43,Advosy
DLR-00184,ADVO,-19123.43,01-31-23,"Converter old net backs to 1, charge back at 10c /watt on the M2",-12695.43,-6428.00,Advosy
OUR05940,My A Solar,6643.47,02-02-23,Covering cancelation fee due to this being from old company,0,6643.47,My American Solar
OUR05553,My A Solar,7538.64,02-02-23,Covering cancelation fee due to this being from old company,0,7538.64,My American Solar
OUR06855,Tapales,1500.00,02-03-23,Covering Cancelation clawback,0,1500.00,Tapales Enterprises LLC
DLR-00188,Light Energy,500.00,02-03-23,Bonus to Rep - Per Josh Insturction,0,500.00,Schaper Cluff Solar LLC dba Light Energy 
DLR-00189,Energy Bros USA,1000.00,02-10-23,Credit - approved by Caleb,0,1000.00,Energy Bros USA Inc
DLR-00190,Alpha Electric,3300.00,02-16-23,Kingman AZ GEO specific solar appointments,0,3300.00,Alpha Electric Group
DLR-00191,Alpha Electric,-3300.00,02-16-23,Kingman AZ GEO specific solar appointments payback,0,-3300.00,Alpha Electric Group
DLR-00192,I Am Solar,1277.00,02-21-23,Payment to Donald Holm - approved by Caleb,0,1277.00,I Am Solar
OUR11572,Light Energy,-6000.00,02-21-23,Account should be assigned to EZ Energy per Josh Morton,0,-6000.00,Schaper Cluff Solar LLC dba Light Energy 
DLR-00194,Energy Bros USA,100000.00,02-23-23,Advance approved by Caleb,0,100000.00,Energy Bros USA Inc
DLR-00195,Energy Bros USA,-100000.00,02-23-23,- wait to pay out comm until under 30%,0,-100000.00,Energy Bros USA Inc
DLR-00197,QUINN,4000.00,02-28-23,"Erroneous payment, ref OUR12153, OUR12179",0,4000.00,Quinn Zerba Group
DLR-00198,QUINN,-4000.00,02-28-23,Erroneous payment chargeback,-4000.00,0.0,Quinn Zerba Group
DLR-00196,MARS,10000.00,03-01-23,Advance,0,10000.00,Mark Anthony Ramirez Solar
DLR-00199,MARS,-10000.00,03-01-23,Advance Payback,-10000.00,0.0,Mark Anthony Ramirez Solar
DLR-00200,Avid Mortgage,22405.50,03-01-23,Erroneous payment,0,22405.50,"Avid Mortgage Solutions, Inc."
DLR-00201,Avid Mortgage,-22370.50,03-01-23,Erroneous payment chargeback. $35 will be covered for wire transfer.,0,-22370.50,"Avid Mortgage Solutions, Inc."
DLR-00202,Omni,15419.02,03-10-23,Advance Payback - erroneous payment,0,15419.02,Omni
DLR-00203,Omni,-15419.02,03-10-23,"Advance Payback, 10c/watt",-13379.02,-2040.00,Omni
DLR-00204,Alpha Electric,15419.02,03-14-23,Advance payback - airbnb,0,15419.02,Alpha Electric Group
DLR-00205,Alpha Electric,-15419.02,03-14-23,"Advance Payback, 10c/watt",0,-15419.02,Alpha Electric Group
OUR09150,WhyGen,5670.00,03-15-23,Paying WhyGen for the rep from New Age,0,5670.00,WhyGen LLC
DLR-00207,SunTech Smart Home,-1930.50,03-20-23,OUR12633 is under Elavate Solar not Suntech Smart Home - erroneous payment chargeback,-1930.50,0.0,"SunTech Smart Home Solutions, LLC "
OUR08595,Switch Solar,2000.00,03-20-23,OWE will cover the cancel cost as per Natalie,0,2000.00,Switch Solar
DLR-00209,Solterian,6650.10,03-24-23,Advance to cover AirBnB - approved by Josh M,0,6650.10,DBA True Energy Plus LLC 
DLR-00210,Solterian,-6650.10,03-24-23,Advacne payback @ 20c/Watt,0,-6650.10,DBA True Energy Plus LLC 
DLR-00211,Solterian,12202.00,03-31-23,Advance paid out directly to SR Olashawan Miller per Josh & Caleb instructoin,0,12202.00,DBA True Energy Plus LLC 
DLR-00212,Solterian,-12202.00,03-31-23,Advance for SR Olashawan Miller to be paid back at 20c/Watt,0,-12202.00,DBA True Energy Plus LLC 
OUR10459,Switch Solar,1000.00,04-03-23,OWE will cover half of the NTP payment approved by Josh M.,0,1000.00,Switch Solar
DLR-00214,Alpha Electric,15158.00,04-05-23,Advance approved by Caleb - housing for April,0,15158.00,Alpha Electric Group
DLR-00215,Alpha Electric,-15158.00,04-05-23,Advance payback 10c/watt,0,-15158.00,Alpha Electric Group
DLR-00216,Freedom Energy,7247.07,04-05-23,Erroneous payment,0,7247.07,Freedom Energy LLC
DLR-00217,Freedom Energy,-7247.07,04-05-23,Erroneous payment chargeback,-7247.07,0.0,Freedom Energy LLC
OUR10577,Vantage Solar,-1365.84,04-10-23,Dealer should be Valley Voltage,0,-1365.84,Vantage Solar LLC
OUR06443,MARS,,04-17-23,Dealer will cover a portion of customer payments approved by Josh Morton,0,0.0,Mark Anthony Ramirez Solar
OUR13269,Global Solar,-2000.00,04-18-23,"Per Josh Morton, we will not chargeback the M1 payment",0,-2000.00,"Global Solar Network, LLC "
DLR-00221,Ash Salieta,7176.50,04-18-23,$.05 OR on the first 10 installs for Citi solar - approved by Josh,0,7176.50,Ash Salieta
DLR-00222,OWE-AZ-22,-22646.44,04-18-23,Anthony Lyndon Offset,0,-22646.44,OWE In House Team
DLR-00223,Off Grid,12500.00,04-21-23,Advance approved by Josh & Caleb,0,12500.00,Off Grid Solutions LLC
DLR-00224,Off Grid,-12500.00,04-21-23,Advance payback $.10/Watt,-12500.00,0.0,Off Grid Solutions LLC
OUR11751,Valley Voltage,-13725.00,04-25-23,This account should be under Vantage Solar,0,-13725.00,Valley Voltage LLC
OUR12472,SE of AZ,3850.00,04-25-23,Competing account approved by Josh Morton,0,3850.00,Solar Experts of AZ
DLR-00227,Alpha Electric,14900.00,04-26-23,Advance - covering May Blitz expenses,0,14900.00,Alpha Electric Group
DLR-00228,Alpha Electric,-14900.00,04-26-23,Advance payback - $0.10/Watt,0,-14900.00,Alpha Electric Group
DLR-00229,Energy Bros USA,70000.00,04-26-23,Advance approved by Caleb,0,70000.00,Energy Bros USA Inc
DLR-00230,Energy Bros USA,-70000.00,04-26-23,Advance payback $.10/Watt,0,-70000.00,Energy Bros USA Inc
DLR-00231,Sun Source,-1350.00,04-28-23," $2,700 chargeback, which both parties have agreed to split equally. - approved by Josh M.",0,-1350.00,Sun Source Energy
DLR-00232,Clean Earth,1350.00,04-28-23," $2,700 chargeback, which both parties have agreed to split equally. - approved by Josh M.",0,1350.00,Clean Earth Consultants
OUR13045,Luxor Energy,-3000.00,05-03-23,"M1 offset, processed payment to Impact Your Energy",-3000.00,0.0,Luxor Energy 
OUR13088,Luxor Energy,-3000.00,05-03-23,"M1 offset, processed payment to Impact Your Energy",-3000.00,0.0,Luxor Energy 
OUR13221,Luxor Energy,-3000.00,05-03-23,"M1 offset, processed payment to Impact Your Energy",0,-3000.00,Luxor Energy 
OUR13362,Luxor Energy,-3000.00,05-03-23,"M1 offset, processed payment to Impact Your Energy",-3000.00,0.0,Luxor Energy 
OUR13278,Luxor Energy,-1622.50,05-03-23,"M1 offset, processed payment to Impact Your Energy",-1622.50,0.0,Luxor Energy 
OUR13482,Impact Your Energy,-3000.00,05-03-23,"M1 offset, processed payment to Impact Your Energy",0,-3000.00,Impact Your Energy LLC 
DLR-00239,Energy Bros USA,0.0,05-03-23,Fine Deductions per Matt S. to be paid by SR approved by Josh Morton | Saul Tamez is a terminated rep and has zero pipeline,0,0.0,Energy Bros USA Inc
